Town;Area (Km²);Latitude;Longitude;NUTS_2;NUTS_3;InsPowMW_20150131;InsPowMW_20150228;InsPowMW_20150331;InsPowMW_20150430;InsPowMW_20150531;InsPowMW_20150630;InsPowMW_20150731;InsPowMW_20150831;InsPowMW_20150930;InsPowMW_20151031;InsPowMW_20151130;InsPowMW_20151231;InsPowMW_20160131;InsPowMW_20160229;InsPowMW_20160331;InsPowMW_20160430;InsPowMW_20160531;InsPowMW_20160630;InsPowMW_20160731;InsPowMW_20160831;InsPowMW_20160930;InsPowMW_20161031;InsPowMW_20161130;InsPowMW_20161231;InsPowMW_20170131;InsPowMW_20170228;InsPowMW_20170331;InsPowMW_20170430;InsPowMW_20170531;InsPowMW_20170630;InsPowMW_20170731;InsPowMW_20170831;InsPowMW_20170930;InsPowMW_20171031;InsPowMW_20171130;InsPowMW_20171231;InsPowMW_20180131;InsPowMW_20180228;InsPowMW_20180331;InsPowMW_20180430;InsPowMW_20180531;InsPowMW_20180630;InsPowMW_20180731;InsPowMW_20180831;InsPowMW_20180930;InsPowMW_20181031;InsPowMW_20181130;InsPowMW_20181231;InsPowMW_20190131;InsPowMW_20190228;InsPowMW_20190331;InsPowMW_20190430;InsPowMW_20190531;InsPowMW_20190630;InsPowMW_20190731;InsPowMW_20190831;InsPowMW_20190930;InsPowMW_20191031;InsPowMW_20191130;InsPowMW_20191231;InsPowMW_20200131;InsPowMW_20200229;InsPowMW_20200331;InsPowMW_20200430;InsPowMW_20200531;InsPowMW_20200630;InsPowMW_20200731;InsPowMW_20200831;InsPowMW_20200930;InsPowMW_20201031;InsPowMW_20201130;InsPowMW_20201231
Arboleas;66.1;37.35;-2.08;ES61;ES611;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17
Arbúcies;86.3;41.82;2.49;ES51;ES512;0.184;0.184;0.184;0.184;0.184;0.184;0.184;0.184;0.184;0.184;0.184;0.184;0.184;0.184;0.184;0.184;0.184;0.184;0.184;0.184;0.184;0.184;0.184;0.184;0.184;0.184;0.184;0.184;0.184;0.184;0.184;0.184;0.184;0.184;0.184;0.184;0.184;0.184;0.184;0.184;0.184;0.184;0.184;0.184;0.184;0.184;0.184;0.184;0.184;0.184;0.184;0.184;0.184;0.184;0.184;0.184;0.184;0.184;0.184;0.184;0.184;0.184;0.184;0.184;0.184;0.184;0.184;0.184;0.184;0.184;0.184;0.184
Arcas;81.5;39.95;-2.09;ES42;ES423;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002
Arcenillas;12.1;41.46;-5.69;ES41;ES419;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315
Archena;16.4;38.11;-1.30;ES62;ES620;0.903;0.903;0.903;0.903;0.903;0.903;0.903;0.903;0.903;0.903;0.903;0.903;0.903;0.903;0.903;0.903;0.903;0.903;0.903;0.903;0.903;0.903;0.903;0.903;0.903;0.903;0.903;0.903;0.903;0.903;0.903;0.903;0.903;0.903;0.903;0.903;0.903;0.903;0.903;0.903;0.903;0.903;0.903;0.903;0.903;0.903;0.903;0.903;0.903;0.903;0.903;0.903;0.903;0.903;0.903;0.988;0.988;0.988;0.988;0.988;0.988;0.988;0.988;0.988;0.988;0.988;0.988;0.988;0.988;0.988;0.988;0.988
Archidona;186.5;37.11;-4.39;ES61;ES617;8.305;8.305;8.305;8.305;8.305;8.305;8.305;8.305;8.305;8.305;8.305;8.305;8.305;8.305;8.305;8.305;8.305;8.305;8.305;8.305;8.305;8.305;8.305;8.305;8.305;8.305;8.305;8.305;8.305;8.305;8.305;8.305;8.305;8.305;8.305;8.305;8.305;8.305;8.305;8.305;8.305;8.305;8.305;8.305;8.305;8.305;8.305;8.305;8.305;8.305;8.305;8.305;8.305;8.305;8.305;8.305;8.305;8.305;8.305;8.305;8.305;8.305;8.305;8.305;8.305;8.305;8.305;8.305;8.305;8.305;8.305;8.305
Arcicóllar;30.5;40.05;-4.10;ES42;ES425;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
Arcos (Los);57.7;42.54;-2.19;ES22;ES220;2.698;2.698;2.698;2.698;2.698;2.698;2.698;2.698;2.698;2.698;2.698;2.698;2.698;2.698;2.698;2.698;2.698;2.698;2.698;2.698;2.698;2.698;2.698;2.698;2.698;2.698;2.698;2.698;2.698;2.698;2.698;2.698;2.698;2.698;2.698;2.698;2.698;2.698;2.698;2.698;2.698;2.698;2.698;2.698;2.698;2.698;2.698;2.698;2.698;2.698;2.698;2.698;2.698;2.698;2.698;2.698;2.698;2.698;2.698;2.698;2.698;2.698;2.698;2.698;2.698;2.698;2.698;2.698;2.698;2.698;2.698;2.698
Arcos de la Frontera;526.8;36.74;-5.75;ES61;ES612;2.099;2.099;2.099;2.099;2.099;2.099;2.099;2.099;2.099;2.099;2.099;2.099;2.099;2.099;2.099;2.099;2.099;2.099;2.099;2.099;2.099;2.099;2.099;2.099;2.099;2.099;2.099;2.099;2.099;2.099;2.099;2.099;2.099;2.099;2.099;2.099;2.099;2.099;2.099;2.099;2.099;2.099;2.099;2.099;2.099;2.099;2.099;2.099;2.099;2.099;2.099;2.099;2.099;2.099;2.099;2.099;2.099;2.099;2.099;2.099;2.099;2.099;2.099;2.099;2.099;2.099;2.099;2.099;2.099;2.099;2.099;2.099
Arcos de la Polvorosa;12.2;41.94;-5.71;ES41;ES419;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02
Arcos;31.4;42.25;-3.76;ES41;ES412;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.105;0.105
Ardales;106.5;36.89;-4.85;ES61;ES617;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8
Ardón;48.7;42.43;-5.59;ES41;ES413;0.088;0.088;0.088;0.088;0.088;0.088;0.088;0.088;0.088;0.088;0.088;0.088;0.088;0.088;0.088;0.088;0.088;0.088;0.088;0.088;0.088;0.088;0.088;0.088;0.088;0.088;0.088;0.088;0.088;0.088;0.088;0.088;0.088;0.088;0.088;0.088;0.088;0.088;0.088;0.088;0.088;0.088;0.088;0.088;0.088;0.088;0.088;0.088;0.088;0.088;0.088;0.088;0.088;0.088;0.088;0.088;0.088;0.088;0.088;0.088;0.088;0.088;0.088;0.088;0.088;0.088;0.088;0.088;0.088;0.088;0.088;0.088
Areatza;9.1;43.10;-2.79;ES21;ES213;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015
Arenales de San Gregorio;30.5;39.30;-3.04;ES42;ES422;0.364;0.364;0.364;0.364;0.364;0.364;0.364;0.364;0.364;0.364;0.364;0.364;0.364;0.364;0.364;0.364;0.364;0.364;0.364;0.364;0.364;0.364;0.364;0.364;0.364;0.364;0.364;0.364;0.364;0.364;0.364;0.364;0.364;0.364;0.364;0.364;0.364;0.364;0.364;0.364;0.364;0.364;0.364;0.364;0.364;0.364;0.364;0.364;0.364;0.364;0.364;0.364;0.364;0.364;0.364;0.364;0.364;0.364;0.364;0.364;0.364;0.364;0.364;0.364;0.364;0.364;0.364;0.364;0.364;0.364;0.364;0.364
Arenas de San Juan;63.1;39.21;-3.51;ES42;ES422;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005
Arenas de San Pedro;194.6;40.17;-5.11;ES41;ES411;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315
Arenillas de Riopisuerga;28.0;42.35;-4.22;ES41;ES412;0.34;0.34;0.34;0.34;0.34;0.34;0.34;0.34;0.34;0.34;0.34;0.34;0.34;0.34;0.34;0.34;0.34;0.34;0.34;0.34;0.34;0.34;0.34;0.34;0.34;0.34;0.34;0.34;0.34;0.34;0.34;0.34;0.34;0.34;0.34;0.34;0.34;0.34;0.34;0.34;0.34;0.34;0.34;0.34;0.34;0.34;0.34;0.34;0.34;0.34;0.34;0.34;0.34;0.34;0.34;0.34;0.34;0.34;0.34;0.34;0.34;0.34;0.34;0.34;0.34;0.34;0.34;0.34;0.34;0.34;0.34;0.34
Arenys de Mar;6.7;41.58;2.55;ES51;ES511;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.366
Arenzana de Abajo;8.4;42.38;-2.72;ES23;ES230;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1
Ares;18.2;43.44;-8.26;ES11;ES111;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01
Aretxabaleta;26.9;43.02;-2.49;ES21;ES212;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045
Arévalo;45.7;41.04;-4.72;ES41;ES411;3.378;3.378;3.378;3.378;3.378;3.378;3.378;3.378;3.378;3.378;3.378;3.378;3.378;3.378;3.378;3.378;3.378;3.378;3.378;3.378;3.378;3.378;3.378;3.378;3.378;3.378;3.378;3.378;3.378;3.378;3.378;3.378;3.378;3.378;3.378;3.378;3.378;3.378;3.378;3.378;3.378;3.378;3.378;3.378;3.378;3.378;3.378;3.378;3.378;3.378;3.378;3.378;3.378;3.378;3.378;3.378;3.378;3.378;3.378;3.378;3.378;3.378;3.378;3.378;3.378;3.378;3.378;3.378;3.378;3.378;3.378;3.378
Argamasilla de Alba;396.9;39.08;-3.05;ES42;ES422;0.508;0.508;0.508;0.508;0.508;0.508;0.508;0.508;0.508;0.508;0.508;0.508;0.508;0.508;0.508;0.508;0.508;0.508;0.508;0.508;0.508;0.508;0.508;0.508;0.508;0.508;0.508;0.508;0.508;0.508;0.508;0.508;0.508;0.508;0.508;0.508;0.508;0.508;0.508;0.508;0.508;0.508;0.508;0.508;0.508;0.508;0.508;0.508;0.508;0.508;0.508;0.508;0.508;0.508;0.508;0.508;0.508;0.508;0.508;0.508;0.508;0.508;0.508;0.508;0.508;0.508;0.508;0.508;0.508;0.508;0.508;0.508
Argamasilla de Calatrava;167.3;38.74;-4.02;ES42;ES422;3.547;3.547;3.547;3.547;3.547;3.547;3.547;3.547;3.547;3.547;3.547;3.547;3.547;3.547;3.547;3.547;3.547;3.547;3.547;3.547;3.547;3.547;3.547;3.547;3.547;3.547;3.547;3.547;3.547;3.547;3.547;3.547;3.547;3.547;3.547;3.547;3.547;3.547;3.547;3.547;3.547;3.547;3.547;3.547;3.547;3.547;3.547;3.547;3.547;3.547;3.547;3.547;3.547;3.547;3.547;3.547;3.547;3.547;3.547;3.547;3.547;3.547;3.547;3.547;3.547;3.547;3.547;3.547;3.547;3.547;3.547;3.547
Arganda del Rey;80.3;40.29;-3.45;ES30;ES300;1.288;1.288;1.288;1.288;1.288;1.288;1.288;1.288;1.288;1.288;1.288;1.288;1.288;1.288;1.288;1.288;1.288;1.288;1.288;1.288;1.288;1.288;1.288;1.288;1.288;1.288;1.288;1.288;1.288;1.288;1.288;1.288;1.288;1.288;1.288;1.288;1.288;1.288;1.288;1.288;1.288;1.288;1.288;1.288;1.288;1.288;1.288;1.288;1.288;1.288;1.288;1.288;1.288;1.288;1.288;1.288;1.288;1.288;1.288;1.288;1.288;1.288;1.288;1.288;1.288;1.288;1.288;1.288;1.288;1.288;1.288;1.288
Arganza;40.0;42.65;-6.68;ES41;ES413;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025
Argelaguer;12.6;42.21;2.63;ES51;ES512;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07
Argençola;47.4;41.60;1.45;ES51;ES511;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015
Argentona;25.3;41.56;2.39;ES51;ES511;0.196;0.196;0.196;0.196;0.196;0.196;0.196;0.196;0.196;0.196;0.196;0.196;0.196;0.196;0.196;0.196;0.196;0.196;0.196;0.196;0.196;0.196;0.196;0.196;0.196;0.196;0.196;0.196;0.196;0.196;0.196;0.196;0.196;0.196;0.196;0.196;0.196;0.196;0.196;0.196;0.196;0.196;0.196;0.196;0.196;0.196;0.196;0.196;0.196;0.196;0.196;0.196;0.196;0.196;0.196;0.196;0.196;0.196;0.196;0.196;0.196;0.196;0.196;0.196;0.196;0.196;0.196;0.196;0.196;0.196;0.196;0.196
Argés;23.8;39.82;-4.09;ES42;ES425;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006
Arguedas;66.9;42.19;-1.57;ES22;ES220;4.024;4.024;4.024;4.024;4.024;4.024;4.024;4.024;4.024;4.024;4.024;4.024;4.024;4.024;4.024;4.024;4.026;4.026;4.026;4.026;4.026;4.026;4.026;4.026;4.026;4.026;4.026;4.026;4.026;4.026;4.026;4.026;4.026;4.026;4.026;4.026;4.026;4.026;4.026;4.026;4.026;4.026;4.026;4.026;4.026;4.026;4.026;4.026;4.026;4.026;4.026;4.026;4.026;4.026;4.026;4.026;4.026;4.026;4.026;4.026;4.026;4.026;4.026;4.026;4.026;4.026;4.026;4.026;4.026;4.026;4.026;4.026
Arguisuelas;49.6;39.83;-1.83;ES42;ES423;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48
Argujillo;23.1;41.30;-5.58;ES41;ES419;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108
Ariño;81.9;41.05;-0.60;ES24;ES242;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004
Ariza;103.1;41.32;-2.04;ES24;ES243;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314
Arjona;158.4;37.93;-4.08;ES61;ES616;2.501;2.501;2.501;2.501;2.501;2.501;2.501;2.501;2.501;2.501;2.501;2.501;2.501;2.501;2.501;2.501;2.501;2.501;2.501;2.501;2.501;2.501;2.501;2.501;2.501;2.501;2.501;2.501;2.501;2.501;2.501;2.501;2.501;2.501;2.501;2.501;2.501;2.501;2.501;2.501;2.501;2.501;2.501;2.501;2.501;2.501;2.501;2.501;2.501;2.501;2.501;2.501;2.501;2.501;2.501;2.501;2.501;2.501;2.501;2.501;2.501;2.501;2.501;2.501;2.501;2.501;2.501;2.501;2.501;2.501;2.501;2.501
Arjonilla;42.6;37.98;-4.12;ES61;ES616;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092
Arlanzón;77.7;42.34;-3.44;ES41;ES412;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001
Armilla;4.3;37.15;-3.62;ES61;ES614;0.155;0.155;0.155;0.155;0.155;0.155;0.155;0.155;0.155;0.155;0.155;0.155;0.155;0.155;0.155;0.155;0.155;0.155;0.155;0.155;0.155;0.155;0.155;0.155;0.155;0.155;0.155;0.155;0.155;0.155;0.155;0.155;0.155;0.155;0.155;0.155;0.155;0.155;0.155;0.155;0.155;0.155;0.155;0.155;0.155;0.155;0.155;0.155;0.155;0.155;0.155;0.155;0.155;0.155;0.155;0.155;0.155;0.155;0.155;0.155;0.155;0.155;0.155;0.155;0.155;0.155;0.155;0.155;0.155;0.155;0.155;0.155
Armuña de Almanzora;7.7;37.36;-2.42;ES61;ES611;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Armuña;45.8;41.06;-4.28;ES41;ES416;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005
